Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Angela's Ashes,13038660,13038660,25000000,"December 24, 1999",R,Based on Book/Short Story,Drama,Historical Fiction,Alan Parker,52,7,10185
Anger Management,135560942,195660942,56000000,"April 11, 2003",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,43,6.1,57088
The Animal,55762229,55762229,22000000,"June 1, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Luke Greenfield,30,4.6,18601
Anna and the King,39251128,39251128,75000000,"December 17, 1999",PG-13,Based on Book/Short Story,Drama,Dramatization,Andy Tennant,51,6.5,14881
Analyze That,32122249,54994757,60000000,"December 6, 2002",R,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,27,5.6,24090
Analyze This,106885658,176885658,30000000,"March 5, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,68,6.6,52894
Marie Antoinette,15962471,60862471,40000000,"October 20, 2006",PG-13,Based on Book/Short Story,Drama,Dramatization,Sofia Coppola,55,6.4,31877
Antz,90757863,152457863,60000000,"October 2, 1998",PG,Original Screenplay,Adventure,Kids Fiction,Tim Johnson,95,6.8,37343
Anywhere But Here,18653615,18653615,23000000,"November 12, 1999",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Wayne Wang,64,5.9,8514
Apocalypto,50866635,117785051,40000000,"December 8, 2006",R,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64,7.9,82162
The Apostle,20733485,21277770,5000000,"December 17, 1997",PG-13,Original Screenplay,Drama,Contemporary Fiction,Robert Duvall,91,7.1,7757
Ararat,1693000,1693000,15500000,"November 15, 2002",R,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,56,6.6,6763
Armageddon,201578182,554600000,140000000,"July 1, 1998",PG-13,Original Screenplay,Adventure,Contemporary Fiction,Michael Bay,42,6.1,194
The Art of War,30199105,30199105,40000000,"August 25, 2000",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Christian Duguay,16,5.5,12484
A Serious Man,9228788,30710147,7000000,"October 2, 2009",R,Original Screenplay,Comedy,Historical Fiction,Joel Coen,88,7.2,32396
A Simple Plan,16316273,16316273,17000000,"December 11, 1998",R,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,90,7.6,29095
Autumn in New York,37752931,90717684,40000000,"August 11, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,Joan Chen,21,4.8,9309
Atonement,50980159,129425746,30000000,"December 7, 2007",R,Based on Book/Short Story,Drama,Contemporary Fiction,Joe Wright,83,7.9,75491
Austin Powers in Goldmember,213117789,292738626,63000000,"July 25, 2002",PG-13,Original Screenplay,Comedy,Science Fiction,Jay Roach,54,6.2,69140
Australia,49551662,207482792,78000000,"November 26, 2008",PG-13,Original Screenplay,Drama,Historical Fiction,Baz Luhrmann,54,6.8,38089
Auto Focus,2062066,2703821,7000000,"October 18, 2002",R,Based on Book/Short Story,Drama,Dramatization,Paul Schrader,72,6.6,7236
Avatar,760167650,2767891499,237000000,"December 18, 2009",PG-13,Original Screenplay,Action,Science Fiction,James Cameron,83,8.3,261439
Around the World in 80 Days,24004159,72004159,110000000,"June 16, 2004",PG,Remake,Adventure,Historical Fiction,Frank Coraci,30,5.6,21516
Away We Go,9451946,10108016,21000000,"June 5, 2009",R,Original Screenplay,Comedy,Contemporary Fiction,Sam Mendes,66,7.3,14929
Babe: Pig in the City,18319860,69131860,80000000,"November 25, 1998",G,Based on Book/Short Story,Adventure,Kids Fiction,George Miller,61,6.1,9918
Babel,34302837,135302837,20000000,"October 27, 2006",R,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,69,7.6,95122
Babylon A.D.,22532572,70216497,45000000,"August 29, 2008",PG-13,Based on Book/Short Story,Action,Science Fiction,Mathieu Kassovitz,7,5.3,27189
Bad Boys II,138540870,272940870,130000000,"July 18, 2003",R,Original Screenplay,Action,Contemporary Fiction,Michael Bay,24,6.2,58002
Bad Company,30157016,69157016,70000000,"June 7, 2002",PG-13,Original Screenplay,Action,Contemporary Fiction,Joel Schumacher,10,5.3,17901
Bait,15325127,15471969,35000000,"September 15, 2000",R,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,26,5.6,5143
Bangkok Dangerous,15298133,46598133,45000000,"September 5, 2008",R,Remake,Action,Contemporary Fiction,Oxide Pang Chun,9,5.4,20931
Basic Instinct 2,5946136,35417162,70000000,"March 31, 2006",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,7,3.9,16784
Basic,26599248,42598498,50000000,"March 28, 2003",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,John McTiernan,21,6.3,25960
Batman Begins,205343774,372353017,150000000,"June 15, 2005",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,84,8.3,270641
The Dark Knight,533345358,1022345358,185000000,"July 18, 2008",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,93,8.9,465000
Baby Boy,28734552,28734552,16000000,"June 27, 2001",R,Original Screenplay,Drama,Contemporary Fiction,John Singleton,69,6.1,4485
The Curious Case of Benjamin Button,127509326,329809326,160000000,"December 25, 2008",PG-13,Based on Book/Short Story,Drama,Fantasy,David Fincher,72,8,137120
Bless the Child,29374178,40435694,40000000,"August 11, 2000",R,Based on Book/Short Story,Thriller/Suspense,Fantasy,Chuck Russell,3,4.8,7765
Be Cool,55849401,94849401,75000000,"March 4, 2005",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,F. Gary Gray,30,5.6,32082
Big Daddy,163479795,234779795,30000000,"June 25, 1999",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,40,4.7,48
Bedazzled,37879996,90376224,48000000,"October 20, 2000",PG-13,Remake,Comedy,Contemporary Fiction,Harold Ramis,49,5.9,30946
Body of Lies,39394666,108394666,67500000,"October 10, 2008",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ridley Scott,52,7.2,53921
Blood Diamond,57377916,171377916,100000000,"December 8, 2006",R,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8,118925
Beautiful,3134509,3134509,9000000,"September 29, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,Sally Field,15,4.4,2238
In the Bedroom,35930604,43430604,1700000,"November 23, 2001",R,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,93,7.5,20888
Bee Movie,126631277,287594577,150000000,"November 2, 2007",PG,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51,6.3,30575
Beloved,22852487,22852487,53000000,"October 16, 1998",R,Based on Book/Short Story,Drama,Historical Fiction,Jonathan Demme,77,5.3,102
The Benchwarmers,59843754,64843754,35000000,"April 7, 2006",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,12,5.4,17824
Beowulf,82195215,194995215,150000000,"November 16, 2007",PG-13,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70,6.6,62513
Big Fat Liar,47811275,52375275,15000000,"February 8, 2002",PG,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,43,5.2,9877
Big Fish,66432867,123432867,70000000,"December 10, 2003",PG-13,Based on Book/Short Story,Drama,Fantasy,Tim Burton,77,8.1,141099
Before Sunset,5792822,11293790,2000000,"July 2, 2004",R,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,95,8,45535
The Big Lebowski,17498804,46189568,15000000,"March 6, 1998",R,Original Screenplay,Comedy,Contemporary Fiction,Joel Coen,78,8.2,177960
Big Momma's House,117559438,173559438,33000000,"June 2, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Raja Gosnell,30,4.7,21318
Black Hawk Down,108638745,173638745,95000000,"December 28, 2001",R,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7,98653
Big Trouble,7262288,8488871,45000000,"April 5, 2002",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,48,6.3,11610
Billy Elliot,21995263,109280263,5000000,"October 13, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,Stephen Daldry,85,7.7,38403
Bicentennial Man,58220776,87420776,90000000,"December 17, 1999",PG,Based on Book/Short Story,Drama,Science Fiction,Chris Columbus,38,6.4,28827
Blade,70141876,131237688,45000000,"August 21, 1998",R,Based on Comic/Graphic Novel,Action,Super Hero,Stephen Norrington,55,7,64896
Blast from the Past,26613620,26613620,35000000,"February 12, 1999",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,60,6.4,23243
Blood Work,26199517,26199517,50000000,"August 9, 2002",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3,16751
Blindness,3073392,14542658,25000000,"October 3, 2008",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Fernando Meirelles,42,6.6,25508
Legally Blonde,96493426,141743426,18000000,"July 13, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,67,6.2,44128
Blood and Wine,1083350,1083350,26000000,"February 21, 1997",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Bob Rafelson,61,6.1,4761
Blow,52990775,83282296,30000000,"April 6, 2001",R,Based on Book/Short Story,Drama,Dramatization,Ted Demme,54,7.4,70218
Bamboozled,2185266,2373937,10000000,"October 6, 2000",R,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,47,6.3,5958
Bandits,41523271,71523271,75000000,"October 12, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,63,6.5,30732
The Bone Collector,66488090,151463090,48000000,"November 5, 1999",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Phillip Noyce,27,6.3,46961
Boogie Nights,26410771,43111725,15000000,"October 10, 1997",R,Original Screenplay,Drama,Historical Fiction,Paul Thomas Anderson,92,7.9,70962
The Bourne Identity,121468960,213300000,60000000,"June 14, 2002",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7,122597
The Bourne Supremacy,176087450,288587450,85000000,"July 23, 2004",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,81,7.6,104614
The Bourne Ultimatum,227471070,442161562,130000000,"August 3, 2007",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2,146025
Boys Don't Cry,11540607,20741000,2000000,"October 8, 1999",R,Original Screenplay,Drama,Dramatization,Kimberly Peirce,88,7.6,34435
Beyond Borders,4426297,11427090,60000000,"October 24, 2003",R,Original Screenplay,Drama,Historical Fiction,Martin Campbell,14,6.2,9575
Brokeback Mountain,83043761,180343761,13900000,"December 9, 2005",R,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87,7.8,115951
Barbershop,75781642,77081642,12000000,"September 13, 2002",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Tim Story,82,6.2,11164
Best in Show,18621249,20695413,6000000,"September 27, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,94,7.4,24484
Bad Santa,60060328,60063017,18000000,"November 26, 2003",R,Original Screenplay,Comedy,Contemporary Fiction,Terry Zwigoff,77,7.3,45022
Inglourious Basterds,120831050,320389438,70000000,"August 21, 2009",R,Original Screenplay,Action,Historical Fiction,Quentin Tarantino,88,8.4,178742
Blue Streak,68208190,117448157,36000000,"September 17, 1999",PG-13,Original Screenplay,Action,Contemporary Fiction,Les Mayfield,35,5.9,23545
Batman & Robin,107325195,238317814,125000000,"June 20, 1997",PG-13,Original Screenplay,Action,Super Hero,Joel Schumacher,11,3.5,81283
Buffalo '66,2380606,2380606,1500000,"June 26, 1998",R,Original Screenplay,Comedy,Contemporary Fiction,Vincent Gallo,78,7.3,17762
Bulworth,26528684,29203383,30000000,"May 15, 1998",R,Original Screenplay,Comedy,Contemporary Fiction,Warren Beatty,75,6.8,15486
Bowfinger,66458769,98699769,55000000,"August 13, 1999",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,79,6.4,33389
Cars,244082982,461923762,70000000,"June 9, 2006",G,Original Screenplay,Comedy,Kids Fiction,John Lasseter,74,7.5,66809
Cast Away,233632142,427230516,85000000,"December 22, 2000",PG-13,Original Screenplay,Drama,Contemporary Fiction,Robert Zemeckis,89,7.5,102936
Catch Me if You Can,164606800,351106800,52000000,"December 25, 2002",PG-13,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96,5.7,224
Connie & Carla,8047525,8047525,20000000,"April 16, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Michael Lembeck,44,6,4359
Crocodile Dundee in Los Angeles,25590119,39393111,25000000,"April 20, 2001",PG,Original Screenplay,Adventure,Contemporary Fiction,Simon Wincer,12,4.6,7082
Celebrity,5078660,6200000,12000000,"November 20, 1998",R,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,41,6.1,10978
Cellular,32003620,45261739,45000000,"September 10, 2004",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,54,6.5,32534
City of Ember,7871693,11817059,38000000,"October 10, 2008",PG,Based on Book/Short Story,Adventure,Fantasy,Gil Kenan,53,6.4,14905
Charlie and the Chocolate Factory,206459076,474459076,150000000,"July 15, 2005",PG,Remake,Comedy,Kids Fiction,Tim Burton,82,7.1,102437
Chicken Little,135386665,314432738,60000000,"November 4, 2005",G,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8,17415
Chicken Run,106793915,227793915,42000000,"June 21, 2000",G,Original Screenplay,Adventure,Kids Fiction,Nick Park,96,7.3,48307
Cheaper by the Dozen,138614544,189714544,40000000,"December 25, 2003",PG,Remake,Comedy,Contemporary Fiction,Shawn Levy,24,5.6,24283
Cheaper by the Dozen 2,82571173,135015330,60000000,"December 21, 2005",PG,Remake,Comedy,Contemporary Fiction,Adam Shankman,7,5.2,11858
Cheri,2715657,2715657,23000000,"June 26, 2009",R,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,54,6.1,3307
Bride of Chucky,32404188,50692188,25000000,"October 16, 1998",R,Original Screenplay,Horror,Fantasy,Ronny Yu,43,5.3,13735
Children of Men,35552383,69450202,76000000,"December 25, 2006",R,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93,8.1,158125
Love in the Time of Cholera,4617608,31077418,45000000,"November 16, 2007",R,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27,6.2,8580
Chocolat,71309760,152500343,25000000,"December 15, 2000",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62,7.3,56176
Charlotte's Web,82985708,143985708,82500000,"December 15, 2006",G,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7,8028
City of Angels,78750909,198750909,55000000,"April 10, 1998",PG-13,Remake,Drama,Fantasy,Brad Silberling,59,6.4,40053
A Civil Action,56709981,56709981,60000000,"December 25, 1998",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61,6.4,14244
Cold Mountain,95632614,161632614,80000000,"December 25, 2003",R,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70,7.3,51083
Click,137355633,237555633,82500000,"June 23, 2006",PG-13,Original Screenplay,Comedy,Fantasy,Frank Coraci,32,5,133
Code Name: The Cleaner,8135024,8135024,20000000,"January 5, 2007",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4,4,5277
Clerks II,24148068,25894473,5000000,"July 21, 2006",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,63,7.7,56668
The Company,2281585,3396508,15000000,"December 25, 2003",PG-13,Original Screenplay,Drama,Contemporary Fiction,Robert Altman,69,6.2,3649
Constantine,75976178,230884728,75000000,"February 18, 2005",R,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46,6.7,78705
The Contender,17804273,17804273,9000000,"October 13, 2000",R,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,76,6.9,13709
Confessions of a Dangerous Mind,16007718,33013805,29000000,"December 31, 2002",R,Based on Book/Short Story,Drama,Dramatization,George Clooney,79,7.1,36258
Collateral,100170152,217670152,60000000,"August 6, 2004",R,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86,7.8,105362
Come Early Morning,119452,119452,6000000,"November 10, 2006",R,Original Screenplay,Drama,Contemporary Fiction,Joey Lauren Adams,83,6.2,1511
Con Air,101117573,224117573,80000000,"June 6, 1997",R,Original Screenplay,Action,Contemporary Fiction,Simon West,57,6.6,76052
Confidence,12212417,12212417,15000000,"April 25, 2003",R,Original Screenplay,Drama,Contemporary Fiction,James Foley,71,6.8,17111
Conspiracy Theory,76118990,137118990,80000000,"August 8, 1997",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Richard Donner,51,6.5,35719
Contact,100920329,165900000,90000000,"July 11, 1997",PG,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67,7.3,73684
The Covenant,23364784,38164784,20000000,"September 8, 2006",PG-13,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3,4.8,17736
Cop Land,44906632,63706632,15000000,"August 15, 1997",R,Original Screenplay,Drama,Contemporary Fiction,James Mangold,71,6.9,35192
Couples Retreat,109205660,172450423,60000000,"October 9, 2009",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12,5.5,18332
Cradle Will Rock,2899970,2899970,32000000,"December 8, 1999",R,Original Screenplay,Drama,Dramatization,Tim Robbins,64,6.7,6127
Crash,3357324,3357324,10000000,"October 4, 1996",R,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,65,6.1,20886
Crazy in Alabama,1954202,1954202,15000000,"October 22, 1999",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Antonio Banderas,31,5.7,3991
Cradle 2 the Grave,34657731,56434942,25000000,"February 28, 2003",R,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26,5.4,14834
The Corruptor,15164492,15164492,10000000,"March 12, 1999",R,Original Screenplay,Action,Contemporary Fiction,James Foley,48,5.8,9008
Crash,54557348,98387109,6500000,"May 6, 2005",R,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75,6.1,20886
The Count of Monte Cristo,54228104,54228104,40000000,"January 25, 2002",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74,7.6,40605
Cruel Intentions,38230075,75803716,11000000,"March 5, 1999",R,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47,6.7,66861
The Last Castle,18208078,20541668,60000000,"October 19, 2001",R,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,52,6.5,21621
Clockstoppers,36985501,38788828,26000000,"March 29, 2002",PG,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28,5,6392
The City of Your Final Destination,493296,493296,8300000,"April 16, 2010",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,James Ivory,40,6.6,430
Cloudy with a Chance of Meatballs,124870275,139525862,100000000,"September 18, 2009",PG,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86,7.2,19913
Charlie Wilson's War,66661095,118661095,75000000,"December 21, 2007",R,Based on Book/Short Story,Drama,Dramatization,Mike Nichols,81,7.3,43168
Daddy Day Care,104148781,164285587,60000000,"May 9, 2003",PG,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28,5.5,14944
The Black Dahlia,22672813,46672813,60000000,"September 15, 2006",R,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33,5.6,35210
Dance Flick,25662155,32092761,25000000,"May 22, 2009",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Damien Wayans,17,3.4,5002
Daredevil,102543518,179179718,80000000,"February 14, 2003",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44,5.5,63574
Dark City,14435076,27257061,27000000,"February 27, 1998",R,Original Screenplay,Thriller/Suspense,Fantasy,Alex Proyas,77,7.8,62991
Donnie Darko,1270522,4116307,4500000,"October 26, 2001",R,Original Screenplay,Drama,Fantasy,Richard Kelly,84,8.3,210713
Dark Water,25473093,49473093,60000000,"July 8, 2005",PG-13,Remake,Thriller/Suspense,Fantasy,Walter Salles,46,5.6,19652
Date Movie,48548426,84548426,20000000,"February 17, 2006",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,6,2.6,31821
Date Night,98711404,152253432,55000000,"April 9, 2010",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,67,6.5,22925
Dawn of the Dead,58990765,102290765,28000000,"March 19, 2004",R,Remake,Horror,Science Fiction,Zack Snyder,76,7.4,73875
Double Jeopardy,116735231,177835231,40000000,"September 24, 1999",R,Original Screenplay,Action,Contemporary Fiction,Bruce Beresford,25,6,28887
Deep Blue Sea,73648228,165048228,60000000,"July 28, 1999",R,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,57,5.6,44191
Drive Me Crazy,17843379,22591451,8000000,"October 1, 1999",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,John Schultz,26,5.1,6968
Dear John,80014842,112014842,25000000,"February 5, 2010",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,28,7,246
Deep Rising,11203026,11203026,45000000,"January 30, 1998",R,Original Screenplay,Action,Contemporary Fiction,Stephen Sommers,30,5.7,12484
Death at a Funeral,42739347,42739347,21000000,"April 16, 2010",R,Remake,Comedy,Contemporary Fiction,Neil LaBute,38,5.1,6628
The Devil's Own,42885593,140900000,90000000,"March 26, 1997",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alan J. Pakula,29,5.8,21331
Defiance,28644813,42268745,50000000,"December 31, 2008",R,Original Screenplay,Drama,Historical Fiction,Edward Zwick,56,5.9,362
Dragonfly,30063805,30063805,60000000,"February 22, 2002",PG-13,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8,14098
Dick,6276869,6276869,13000000,"August 4, 1999",PG-13,Original Screenplay,Comedy,Historical Fiction,Andrew Fleming,70,6.1,10451
Live Free or Die Hard,134529403,383531464,110000000,"June 27, 2007",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559
Disaster Movie,14190901,34690901,20000000,"August 29, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,1.7,34928
District 9,115646235,206552113,30000000,"August 14, 2009",R,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91,8.3,151742
Dark Blue,9237470,11933396,15000000,"February 21, 2003",R,Original Screenplay,Drama,Contemporary Fiction,Ron Shelton,57,6.6,10881
Dogma,30651422,43948865,10000000,"November 12, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,68,7.3,100476
Domestic Disturbance,45207112,45207112,53000000,"November 2, 2001",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24,5.3,10778
Deep Impact,140464664,349464664,80000000,"May 8, 1998",PG-13,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47,6,54160
The Departed,133311000,290539042,90000000,"October 6, 2006",R,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5,264148
Death Race,36316032,72516819,65000000,"August 22, 2008",R,Remake,Action,Science Fiction,Paul Anderson,41,6.6,40611
Drag Me To Hell,42100625,85724728,30000000,"May 29, 2009",PG-13,Original Screenplay,Horror,Fantasy,Sam Raimi,92,7.1,51343
Driven,32616869,54616869,72000000,"April 27, 2001",PG-13,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13,4.2,18795
I Dreamed of Africa,6543194,6543194,34000000,"May 5, 2000",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Hugh Hudson,9,5.2,2298
Dreamcatcher,33685268,75685268,68000000,"March 21, 2003",R,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30,5.3,34141
Disturbia,80209692,117573043,20000000,"April 13, 2007",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7,72231
Death at a Funeral,8580428,34743644,20000000,"August 17, 2007",R,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1,6628
The Da Vinci Code,217536138,757236138,125000000,"May 19, 2006",PG-13,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25,6.4,116903
Down to Earth,64172251,71172251,30000000,"February 16, 2001",PG-13,Remake,Comedy,Fantasy,Paul Weitz,19,5,9193
EDtv,22508689,35319689,60000000,"March 26, 1999",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62,6,21734
Eagle Eye,101440743,178066569,80000000,"September 26, 2008",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27,6.6,52336
8MM,36443442,96398826,40000000,"February 26, 1999",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22,6.3,47753
Elf,173398518,220443451,32000000,"November 7, 2003",PG,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84,6.8,42123
Once Upon a Time in Mexico,56330657,98156459,29000000,"September 12, 2003",R,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68,6.2,54413
The Emperor's New Groove,89296573,169296573,100000000,"December 15, 2000",G,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355
The End of the Affair,10660147,10660147,23000000,"December 3, 1999",R,Based on Book/Short Story,Drama,Historical Fiction,Neil Jordan,67,6.9,9969
End of Days,66889043,212026975,100000000,"November 24, 1999",R,Original Screenplay,Action,Fantasy,Peter Hyams,11,5.4,43513
Enemy of the State,111549836,250649836,85000000,"November 20, 1998",R,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700
Entrapment,87707396,211700000,66000000,"April 30, 1999",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764
Enough,39177215,39177215,38000000,"May 24, 2002",PG-13,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92
Envy,13548322,14566246,20000000,"April 30, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7,4.6,15655
Epic Movie,39739367,86858578,20000000,"January 26, 2007",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2,48975
Elizabethtown,26850426,50719373,54000000,"October 14, 2005",PG-13,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4,31775
Eternal Sunshine of the Spotless Mind,34366518,47066518,20000000,"March 19, 2004",R,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93,8.5,219986
Eve's Bayou,14843425,14843425,5000000,"November 7, 1997",R,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80,7,4509
Event Horizon,26673242,26673242,60000000,"August 15, 1997",R,Original Screenplay,Horror,Science Fiction,Paul Anderson,21,6.3,44671
Evolution,38311134,98341932,80000000,"June 8, 2001",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9,39590
Exit Wounds,51758599,79958599,33000000,"March 16, 2001",R,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2,14528
eXistenZ,2840417,2840417,20700000,"April 23, 1999",R,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71,6.8,35788
Extract,10823158,10849158,7500000,"September 4, 2009",R,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62,6.4,12371
Extreme Ops,4835968,12624471,40000000,"November 27, 2002",PG-13,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6,4.1,3195
